Quarter,region,Sexual offences,"Attempts/threats to murder, assaults, harassments and related offences",Driving/in charge of a vehicle while over legal alcohol limit,Driving/in charge of a vehicle under the influence of drugs,Endangering traffic offences,"Robbery, extortion and hijacking offences",Burglary and related offences,Theft and related offences,Theft/taking of vehicle and related offences,Controlled drug offences,Public order and other social code offences,Disorderly conduct
2021Q1,Laois/Offaly,29,171,25,16,0,8,46,223,16,153,146,121
2021Q1,Meath,28,107,63,5,1,6,85,289,32,155,109,99
2021Q1,Wicklow,24,86,17,16,1,7,82,224,12,183,104,84
2021Q1,Westmeath,22,94,26,7,0,5,36,162,10,97,91,74
2021Q1,Kildare,33,184,61,55,2,7,81,343,21,233,212,183
2021Q1,Tipperary,28,135,52,12,1,7,70,248,29,187,250,227
2021Q1,Wexford,50,117,34,9,2,4,97,224,10,90,77,71
2021Q1,Kilkenny/Carlow,31,88,31,13,7,7,49,173,12,153,184,168
2021Q1,Waterford,22,155,37,46,1,8,45,207,10,277,189,180
2021Q1,D.M.R. South Central,37,219,23,26,5,54,155,982,55,246,694,639
2021Q1,D.M.R. North Central,34,299,43,16,2,70,99,901,70,314,598,446
2021Q1,D.M.R. Northern,46,402,60,34,5,72,162,1098,149,368,398,300
2021Q1,D.M.R. Southern,68,219,41,39,3,37,116,804,82,279,306,243
2021Q1,D.M.R. Eastern,31,112,16,19,2,19,119,636,38,166,208,165
2021Q1,D.M.R. Western,64,395,84,68,4,61,174,1222,149,776,430,363
2021Q2,Cavan/Monaghan,32,170,67,23,1,6,50,161,5,89,194,180
2021Q2,Donegal,36,165,51,69,2,6,26,98,14,96,195,180
2021Q2,Sligo/Leitrim,26,93,26,30,0,1,31,82,3,59,132,118
2021Q2,Louth,36,180,39,16,4,9,72,312,23,232,222,201
2021Q2,Clare,19,92,20,4,2,6,24,153,4,70,94,81
2021Q2,Mayo,22,99,22,8,1,3,19,106,4,81,123,112
2021Q2,Galway,42,254,55,11,1,12,90,348,17,133,434,378
2021Q2,Roscommon/Longford,16,90,26,14,1,0,38,108,5,90,100,89
2021Q2,Cork City,53,281,50,16,4,16,64,540,57,407,559,505
2021Q2,Cork North,23,153,34,29,0,4,53,126,11,159,170,151
2021Q2,Cork West,32,70,33,25,2,1,19,76,5,78,89,75
2021Q2,Kerry,23,129,42,14,1,2,41,164,8,137,219,204
2021Q2,Limerick,36,223,35,35,8,10,97,643,31,233,332,186
2021Q2,Laois/Offaly,40,210,42,12,1,7,98,236,19,144,178,157
2021Q2,Meath,41,147,63,5,0,6,78,367,27,129,126,103
2021Q2,Wicklow,20,91,21,21,2,9,61,262,18,186,141,116
2021Q2,Westmeath,20,109,28,4,1,7,59,182,13,63,113,106
2021Q2,Kildare,44,198,49,47,3,6,83,416,31,211,191,169
2021Q2,Tipperary,37,143,61,11,1,2,64,236,22,202,223,206
2021Q2,Wexford,29,147,34,13,0,2,70,226,17,117,106,92
2021Q2,Kilkenny/Carlow,32,107,35,12,3,4,43,183,9,182,190,172
2021Q2,Waterford,21,188,42,41,0,6,48,252,17,237,231,212
2021Q2,D.M.R. South Central,33,256,31,22,3,64,163,1141,71,255,767,698
2021Q2,D.M.R. North Central,37,275,47,21,4,48,122,966,69,298,582,416
2021Q2,D.M.R. Northern,60,395,66,37,3,46,147,1225,154,356,356,278
2021Q2,D.M.R. Southern,51,197,38,28,2,25,108,845,78,322,330,273
2021Q2,D.M.R. Eastern,36,128,20,14,0,15,96,583,35,117,167,134
2021Q2,D.M.R. Western,70,399,75,50,8,47,176,1255,167,695,383,303
2021Q3,Cavan/Monaghan,31,183,70,27,1,4,48,156,8,70,256,249
2021Q3,Donegal,39,218,68,50,1,7,38,119,16,102,242,220
2021Q3,Sligo/Leitrim,19,90,27,24,2,4,39,103,7,52,127,118
2021Q3,Louth,31,182,49,8,2,10,76,348,29,171,252,222
2021Q3,Clare,12,96,21,1,2,2,43,193,17,70,100,93
2021Q3,Mayo,19,108,47,4,0,3,21,124,6,60,130,119
2021Q3,Galway,53,313,87,11,2,16,72,418,26,94,399,367
2021Q3,Roscommon/Longford,10,103,40,12,2,0,35,77,4,93,101,88
2021Q3,Cork City,40,323,65,11,5,13,62,623,66,341,583,540
2021Q3,Cork North,22,165,52,34,1,4,36,147,9,130,201,182
2021Q3,Cork West,14,103,27,15,1,4,15,86,2,63,88,80
2021Q3,Kerry,38,167,57,7,1,1,39,206,11,120,226,203
2021Q3,Limerick,45,244,55,40,8,14,149,781,44,189,355,251
2021Q3,Laois/Offaly,24,178,27,3,2,8,75,253,19,107,193,168
2021Q3,Meath,23,143,61,1,1,9,59,341,35,99,128,112
2021Q3,Wicklow,21,98,27,14,0,10,69,272,11,131,99,81
2021Q3,Westmeath,15,107,35,4,2,7,42,179,9,66,111,104
2021Q3,Kildare,44,193,62,53,1,9,102,434,28,203,188,158
2021Q3,Tipperary,15,138,55,13,1,5,57,215,23,164,242,223
2021Q3,Wexford,24,169,44,11,0,5,87,239,21,81,168,155
2021Q3,Kilkenny/Carlow,19,120,22,12,2,12,47,220,10,130,217,202
2021Q3,Waterford,37,212,57,27,0,10,53,326,19,225,319,298
2021Q3,D.M.R. South Central,39,282,25,23,2,64,195,1264,86,243,695,615
2021Q3,D.M.R. North Central,50,275,39,18,0,60,123,1070,66,270,661,457
2021Q3,D.M.R. Northern,49,410,55,32,5,72,143,1310,164,299,363,290
2021Q3,D.M.R. Southern,35,209,41,32,1,29,138,929,89,215,297,249
2021Q3,D.M.R. Eastern,31,118,28,11,1,15,118,640,40,102,173,119
2021Q3,D.M.R. Western,49,421,69,68,2,58,177,1469,179,630,353,301
2021Q4,Cavan/Monaghan,23,209,73,20,0,7,62,179,20,75,275,252
2021Q4,Donegal,30,167,74,48,1,6,31,103,11,79,254,233
2021Q4,Sligo/Leitrim,15,101,37,22,1,3,38,138,4,49,137,130
2021Q4,Louth,25,187,48,12,2,15,69,371,27,169,245,226
2021Q4,Clare,14,107,37,4,1,7,41,167,5,49,74,61
2021Q4,Mayo,27,155,50,9,2,6,31,126,6,51,145,127
2021Q4,Galway,49,271,78,15,5,7,118,390,24,103,350,302
2021Q4,Roscommon/Longford,14,83,30,12,1,1,62,107,8,60,99,85
2021Q4,Cork City,70,342,68,12,7,27,62,540,47,353,670,580
2021Q4,Cork North,15,171,41,31,1,6,41,122,8,170,200,182
2021Q4,Cork West,23,87,26,24,0,1,18,52,3,64,95,78
2021Q4,Kerry,22,157,49,20,0,5,35,167,4,134,266,244
2021Q4,Limerick,37,300,49,21,10,11,112,751,32,156,322,228
2021Q4,Laois/Offaly,34,186,50,11,2,6,91,256,21,113,221,198
2021Q4,Meath,30,151,71,8,1,7,98,298,30,123,143,115
2021Q4,Wicklow,21,82,26,17,1,11,45,229,10,123,123,96
2021Q4,Westmeath,10,133,38,4,0,2,55,184,13,64,138,126
2021Q4,Kildare,31,195,65,55,1,17,123,407,21,191,199,173
2021Q4,Tipperary,29,148,56,10,3,7,58,232,18,178,274,249
2021Q4,Wexford,40,132,41,12,0,3,84,258,17,75,133,119
2021Q4,Kilkenny/Carlow,15,111,34,9,1,4,69,202,7,118,251,233
2021Q4,Waterford,26,185,43,23,0,10,39,296,13,171,284,255
2021Q4,D.M.R. South Central,42,254,34,36,2,84,213,1346,78,236,766,667
2021Q4,D.M.R. North Central,43,289,48,19,1,55,127,1198,95,240,628,429
2021Q4,D.M.R. Northern,38,398,84,26,7,54,162,1278,211,275,345,246
2021Q4,D.M.R. Southern,45,218,48,31,4,28,187,902,104,203,254,213
2021Q4,D.M.R. Eastern,30,124,33,17,2,20,145,617,41,107,174,134
2021Q4,D.M.R. Western,48,437,76,53,6,53,221,1541,201,539,412,345
